Party,Sub Party,Sales Person,Sales Branch,Sales Person.0,Article,Blend,Width,GSM,Color,Lab No.,Lot No,Challan No.,Qty (Kg),Qty (Mtr.),No. of Taka,Type of Finish,Type of Packing,Remarks,Order Number,,Manual Conf.
CKU,SILVERTRAQ INTERNATINAL,PIYUSH(CKU),,,C-715FA,PS,60,160,CADET,CKU-HF-215,18046,K-02751,168.6,,7,SOFT WICKING(EXHAUST METHOD)+ANTIMICROBIAL,Rolling,,CKU-1634,,
CKU,DIDA SPORTS,PIYUSH(CKU),,,C-735F-62,PS,60,260,NAVY BLUE,CKU-21775,18052,K-02757,215,,8,SOFT WICKING,Rolling,,CKU-1639,,
CKU,PIYUSH SIR,PIYUSH(CKU),,,"C-917F(90% NYLON,10% SPANDEX)",NS,60,150,RITESH SIR TRAIL,RITESH SIR TRAIL,18173,KDC-2779,115.9,,4,SOFT FINISH,Rolling,,CKU-1652,,
CKU,PIYUSH SIR,PIYUSH(CKU),,,"C-917F(90% NYLON,10% SPANDEX)	",NS,60,150,RITESH SIR TRIAL ,RITESH SIR TRIAL ,18174,KDC-2780,121.55,,4,SOFT FINISH,Rolling,,CKU-1653,,
CKU,B.K ENTERPRISES,PIYUSH(CKU),,,C-233-70,CS,72,220,FAWN,CL-40372,18042,K-02747,203.3,,6,SILICON FINISH,Rolling,,CKU-1660,,
CKU,CUP COUTURE,PIYUSH(CKU),,,C-656A,P,63,105,MOCHA,M-5170,18135,K-02774,349.6,,14,SOFTWICKING(EXHAUSTMETHOD)+ANTITHERMAL(DRYNWET),Rolling,,CKU-1668,,
CKU,G S P Apparels (Tirupur),PIYUSH(CKU),,,C-930(85%NYLON 15%SPANDEX),NS,62,105,TEAL ,PENDING ,18285,-,195.8,,7,SOFT WICKING(EXHAUST METHOD),Rolling,,CKU-1671,,
CKU,G S P Apparels (Tirupur),PIYUSH(CKU),,,C-930(85%NYLON 15%SPANDEX),NS,62,105,OLIVE ,PENDING,18286,-,192.5,,7,SOFT WICKING(EXHAUST METHOD),Rolling,,CKU-1672,,
CKU,G S P Apparels (Tirupur),PIYUSH(CKU),,,C-930(85%NYLON 15%SPANDEX),NS,62,105,BLACK,PENDING,18287,-,195.1,,7,SOFT WICKING(EXHAUST METHOD),Rolling,,CKU-1673,,
GINZA UDHNA,FREEWILL SPORTS,VIRENDER,,,L-3009 / PS / 130’’,PS,58’’,220,BLACK,OLD LOT 16801 OK,16802,,405,808,10,SOFT WICKING ( old lot 16801 ok ROLLING,Rolling,,ORD-20035,,
